data,mes,grupo,variavel,valor,tabela
2008-01-01,200801,1.Alimentação e bebidas,IPCA - Variação mensal,1.52,2938
2008-02-01,200802,1.Alimentação e bebidas,IPCA - Variação mensal,0.6,2938
2008-03-01,200803,1.Alimentação e bebidas,IPCA - Variação mensal,0.89,2938
2008-04-01,200804,1.Alimentação e bebidas,IPCA - Variação mensal,1.29,2938
2008-05-01,200805,1.Alimentação e bebidas,IPCA - Variação mensal,1.95,2938
2008-06-01,200806,1.Alimentação e bebidas,IPCA - Variação mensal,2.11,2938
2008-07-01,200807,1.Alimentação e bebidas,IPCA - Variação mensal,1.05,2938
2008-08-01,200808,1.Alimentação e bebidas,IPCA - Variação mensal,-0.18,2938
2008-09-01,200809,1.Alimentação e bebidas,IPCA - Variação mensal,-0.27,2938
2008-10-01,200810,1.Alimentação e bebidas,IPCA - Variação mensal,0.69,2938
2008-11-01,200811,1.Alimentação e bebidas,IPCA - Variação mensal,0.61,2938
2008-12-01,200812,1.Alimentação e bebidas,IPCA - Variação mensal,0.36,2938
2009-01-01,200901,1.Alimentação e bebidas,IPCA - Variação mensal,0.75,2938
2009-02-01,200902,1.Alimentação e bebidas,IPCA - Variação mensal,0.27,2938
2009-03-01,200903,1.Alimentação e bebidas,IPCA - Variação mensal,0.3,2938
2009-04-01,200904,1.Alimentação e bebidas,IPCA - Variação mensal,0.15,2938
2009-05-01,200905,1.Alimentação e bebidas,IPCA - Variação mensal,0.44,2938
2009-06-01,200906,1.Alimentação e bebidas,IPCA - Variação mensal,0.7,2938
2009-07-01,200907,1.Alimentação e bebidas,IPCA - Variação mensal,-0.06,2938
2009-08-01,200908,1.Alimentação e bebidas,IPCA - Variação mensal,-0.01,2938
2009-09-01,200909,1.Alimentação e bebidas,IPCA - Variação mensal,-0.14,2938
2009-10-01,200910,1.Alimentação e bebidas,IPCA - Variação mensal,-0.09,2938
2009-11-01,200911,1.Alimentação e bebidas,IPCA - Variação mensal,0.58,2938
2009-12-01,200912,1.Alimentação e bebidas,IPCA - Variação mensal,0.24,2938
2010-01-01,201001,1.Alimentação e bebidas,IPCA - Variação mensal,1.13,2938
2010-02-01,201002,1.Alimentação e bebidas,IPCA - Variação mensal,0.96,2938
2010-03-01,201003,1.Alimentação e bebidas,IPCA - Variação mensal,1.55,2938
2010-04-01,201004,1.Alimentação e bebidas,IPCA - Variação mensal,1.45,2938
2010-05-01,201005,1.Alimentação e bebidas,IPCA - Variação mensal,0.28,2938
2010-06-01,201006,1.Alimentação e bebidas,IPCA - Variação mensal,-0.9,2938
2010-07-01,201007,1.Alimentação e bebidas,IPCA - Variação mensal,-0.76,2938
2010-08-01,201008,1.Alimentação e bebidas,IPCA - Variação mensal,-0.24,2938
2010-09-01,201009,1.Alimentação e bebidas,IPCA - Variação mensal,1.08,2938
2010-10-01,201010,1.Alimentação e bebidas,IPCA - Variação mensal,1.89,2938
2010-11-01,201011,1.Alimentação e bebidas,IPCA - Variação mensal,2.22,2938
2010-12-01,201012,1.Alimentação e bebidas,IPCA - Variação mensal,1.32,2938
