capital,valor,var_mensal,pct_sal,tempo,var_ano,var_12,aammes
Belém,406.4,-1.05,47.14,95h25m,,8.52,201701
Curitiba,397.69,-2.97,46.13,93h22m,,-0.19,201701
Manaus,395.79,0.18,45.91,92h56m,,-2.45,201701
Campo Grande,393.25,-3.63,45.62,92h20m,,-4.69,201701
Maceió,391.26,-0.08,45.39,91h52m,,15.99,201701
Belo Horizonte,389.69,-1.26,45.21,91h30m,,-6.71,201701
Goiânia,385.84,-0.26,44.76,90h35m,,-0.67,201701
Teresina,381.12,0.57,44.21,89h29m,,1.62,201701
Boa Vista,380.09,-3.94,44.09,89h14m,,-2.52,201701
Palmas,377.72,-1.4,43.82,88h41m,,-4.45,201701
Porto Velho,373.43,-1.13,43.32,87h41m,,2.09,201701
João Pessoa,368.95,0.76,42.8,86h38m,,5.49,201701
Macapá,365.41,-1.31,42.39,85h48m,,3.16,201701
Salvador,359.75,1.3,41.73,84h28m,,3.0,201701
Aracaju,357.32,2.18,41.45,83h54m,,1.88,201701
São Luís,353.97,-0.59,41.06,83h07m,,0.8,201701
Natal,349.61,-0.67,40.56,82h05m,,6.2,201701
Recife,346.44,-0.44,40.19,81h20m,,0.57,201701
Rio Branco,335.15,-12.82,38.88,78h41m,,-1.87,201701
Porto Alegre,435.51,-4.0,50.52,102h15m,-5.12,4.48,201702
Florianópolis,434.13,-1.76,50.36,101h56m,-4.33,0.8,201702
São Paulo,426.22,-2.22,49.44,100h04m,-2.89,-3.87,201702
Rio de Janeiro,424.55,-3.55,49.25,99h41m,-4.33,-1.4,201702
Brasília,416.59,-3.71,48.33,97h49m,-3.5,-5.04,201702
Vitória,414.03,-1.98,48.03,97h13m,-2.88,3.15,201702
Fortaleza,401.91,-2.56,46.62,94h22m,1.96,3.68,201702
Belém,395.57,-2.66,45.89,92h53m,-3.69,-2.77,201702
Cuiabá,394.45,-3.44,45.76,92h37m,-7.45,-2.02,201702
Curitiba,387.27,-2.62,44.92,90h56m,-5.51,-1.4,201702
Campo Grande,385.38,-2.0,44.71,90h29m,-5.56,-0.64,201702
Goiânia,380.18,-1.47,44.1,89h16m,-1.72,2.25,201702
Belo Horizonte,377.66,-3.09,43.81,88h40m,-4.31,-5.65,201702
Teresina,376.48,-1.22,43.67,88h23m,-0.65,-0.38,201702
Manaus,375.44,-5.14,43.55,88h09m,-4.97,-14.26,201702
Maceió,371.31,-5.1,43.07,87h11m,-5.17,6.89,201702
Palmas,370.0,-2.04,42.92,86h52m,-3.42,1.51,201702
Boa Vista,367.34,-3.35,42.61,86h15m,-7.16,-9.04,201702
Porto Velho,365.89,-2.02,42.44,85h55m,-3.12,1.73,201702
João Pessoa,364.75,-1.14,42.31,85h38m,-0.39,1.13,201702
Macapá,358.78,-1.81,41.62,84h14m,-3.1,-7.02,201702
São Luís,354.45,0.14,41.12,83h13m,-0.45,-0.24,201702
Natal,351.68,0.59,40.8,82h34m,-0.08,5.99,201702
Salvador,349.4,-2.88,40.53,82h02m,-1.62,3.42,201702
Aracaju,344.72,-3.53,39.99,80h56m,-1.42,-4.8,201702
Recife,344.06,-0.69,39.91,80h47m,-1.12,-1.69,201702
Rio Branco,330.58,-1.36,38.35,77h37m,-14.01,-5.34,201702
Porto Alegre,437.22,0.39,50.72,102h40m,-4.75,3.88,201703
São Paulo,435.34,2.14,50.5,102h13m,-0.81,-1.97,201703
Florianópolis,433.7,-0.1,50.31,101h50m,-4.43,-1.67,201703
Rio de Janeiro,431.31,1.59,50.03,101h16m,-2.8,-2.15,201703
Vitória,415.75,0.42,48.23,97h37m,-2.48,-0.58,201703
Brasília,415.39,-0.29,48.19,97h32m,-3.78,-6.6,201703
Fortaleza,408.83,1.72,47.43,95h59m,3.71,5.83,201703
Belém,394.21,-0.34,45.73,92h34m,-4.02,-4.75,201703
Campo Grande,391.95,1.7,45.47,92h02m,-3.95,-0.53,201703
Teresina,391.15,3.9,45.37,91h50m,3.22,1.39,201703
Cuiabá,389.94,-1.14,45.23,91h33m,-8.51,-4.36,201703
Curitiba,389.52,0.58,45.19,91h28m,-4.96,-2.81,201703
Goiânia,388.31,2.14,45.05,91h10m,0.38,2.61,201703
Belo Horizonte,385.57,2.09,44.73,90h32m,-2.3,-5.69,201703
João Pessoa,374.18,2.59,43.41,87h51m,2.19,6.34,201703
Palmas,373.56,0.96,43.33,87h43m,-2.49,-0.89,201703
Porto Velho,372.96,1.93,43.26,87h34m,-1.25,5.27,201703
Manaus,371.93,-0.93,43.15,87h20m,-5.86,-2.51,201703
Boa Vista,371.49,1.13,43.09,87h13m,-6.12,-1.03,201703
Maceió,369.33,-0.53,42.84,86h43m,-5.68,7.82,201703
São Luís,364.28,2.77,42.26,85h32m,2.31,2.17,201703
Natal,364.12,3.54,42.24,85h29m,3.45,11.7,201703
Macapá,362.13,0.93,42.01,85h02m,-2.2,-2.79,201703
Recife,356.21,3.53,41.32,83h38m,2.37,2.59,201703
Aracaju,351.81,2.06,40.81,82h36m,0.61,0.71,201703
Salvador,349.66,0.07,40.56,82h06m,-1.55,0.27,201703
Rio Branco,323.34,-2.19,37.51,75h55m,-15.89,-5.64,201703
Porto Alegre,464.19,6.17,53.85,108h59m,1.13,8.73,201704
Florianópolis,453.54,4.57,52.61,106h29m,-0.06,3.42,201704
Rio de Janeiro,448.51,3.99,52.03,105h19m,1.07,3.35,201704
São Paulo,446.28,2.51,51.77,104h47m,1.68,0.87,201704
Vitória,431.54,3.8,50.06,101h19m,1.22,4.17,201704
Brasília,427.37,2.88,49.58,100h20m,-1.01,-0.07,201704
Fortaleza,423.08,3.49,49.08,99h20m,7.33,9.85,201704
Cuiabá,411.41,5.51,47.73,96h36m,-3.47,2.27,201704
Curitiba,404.55,3.86,46.93,94h59m,-1.3,2.07,201704
Campo Grande,402.19,2.61,46.66,94h26m,-1.44,-0.17,201704
Belém,398.12,0.99,46.18,93h29m,-3.07,-3.49,201704
Belo Horizonte,397.36,3.06,46.1,93h18m,0.68,-0.47,201704
Teresina,397.3,1.57,46.09,93h17m,4.84,5.05,201704
Palmas,392.85,5.16,45.57,92h14m,2.55,7.41,201704
Boa Vista,388.99,4.71,45.12,91h20m,-1.69,1.08,201704
Goiânia,388.83,0.13,45.11,91h17m,0.51,1.75,201704
Porto Velho,383.96,2.95,44.54,90h09m,1.66,8.4,201704
João Pessoa,382.52,2.23,44.37,89h49m,4.47,4.56,201704
Maceió,374.63,1.44,43.46,87h58m,-4.32,7.1,201704
Manaus,373.98,0.55,43.38,87h49m,-5.34,-2.54,201704
Natal,368.86,1.3,42.79,86h37m,4.8,10.28,201704
Recife,368.74,3.52,42.78,86h35m,5.97,2.84,201704
Macapá,368.29,1.7,42.72,86h28m,-0.53,-3.28,201704
Salvador,366.63,4.85,42.53,86h05m,3.23,6.49,201704
São Luís,365.57,0.35,42.41,85h50m,2.67,2.37,201704
Aracaju,363.87,3.43,42.21,85h26m,4.06,4.49,201704
Rio Branco,333.18,3.04,38.65,78h14m,-13.33,-3.11,201704
Porto Alegre,460.65,-0.76,53.44,108h10m,0.36,3.88,201705
São Paulo,458.93,2.83,53.24,107h45m,4.57,2.05,201705
Florianópolis,446.52,-1.55,51.8,104h50m,-1.6,6.16,201705
Rio de Janeiro,442.56,-1.33,51.34,103h55m,-0.27,1.5,201705
Brasília,422.53,-1.13,49.02,99h13m,-2.13,-4.32,201705
Vitória,422.03,-2.2,48.96,99h05m,-1.01,0.73,201705
Fortaleza,404.5,-4.39,46.92,94h58m,2.62,7.83,201705
Curitiba,403.51,-0.26,46.81,94h44m,-1.55,-1.59,201705
Belém,402.76,1.17,46.72,94h34m,-1.94,-0.05,201705
Cuiabá,402.52,-2.16,46.69,94h31m,-5.56,-1.85,201705
Teresina,397.38,0.02,46.1,93h18m,4.86,5.79,201705
Campo Grande,395.11,-1.76,45.83,92h46m,-3.17,-1.62,201705
Goiânia,392.72,1.0,45.56,92h13m,1.52,1.94,201705
Belo Horizonte,390.6,-1.7,45.31,91h43m,-1.03,-4.38,201705
Boa Vista,387.98,-0.26,45.01,91h05m,-1.95,-2.24,201705
Porto Velho,385.76,0.47,44.75,90h34m,2.14,6.91,201705
João Pessoa,383.81,0.34,44.52,90h07m,4.82,6.2,201705
Recife,379.39,2.89,44.01,89h05m,9.03,7.24,201705
Maceió,377.51,0.77,43.79,88h38m,-3.59,5.69,201705
Palmas,376.15,-4.25,43.63,88h19m,-1.81,1.7,201705
Manaus,374.92,0.25,43.49,88h02m,-5.1,-2.89,201705
Aracaju,371.0,1.96,43.04,87h07m,6.1,7.59,201705
Macapá,369.38,0.3,42.85,86h44m,-0.24,-2.37,201705
Natal,364.97,-1.05,42.34,85h41m,3.7,8.14,201705
São Luís,364.8,-0.21,42.32,85h39m,2.45,1.3,201705
Salvador,351.31,-4.18,40.75,82h29m,-1.08,-0.79,201705
Rio Branco,333.15,-0.01,38.65,78h13m,-13.34,-0.64,201705
Porto Alegre,443.66,-3.69,51.47,104h10m,-3.35,-4.6,201706
São Paulo,441.61,-3.77,51.23,103h41m,0.62,-5.84,201706
Florianópolis,432.4,-3.16,50.16,101h31m,-4.72,-6.66,201706
Rio de Janeiro,420.35,-5.02,48.76,98h41m,-5.27,-4.32,201706
Fortaleza,408.49,0.99,47.39,95h55m,3.63,5.61,201706
Brasília,404.88,-4.18,46.97,95h04m,-6.21,-9.71,201706
Vitória,404.54,-4.14,46.93,94h59m,-5.11,-5.63,201706
Cuiabá,395.23,-1.81,45.85,92h48m,-7.27,-8.25,201706
Curitiba,394.49,-2.24,45.76,92h37m,-3.75,-5.28,201706
Belém,393.01,-2.42,45.59,92h17m,-4.31,-6.27,201706
Goiânia,390.1,-0.67,45.25,91h35m,0.84,-7.44,201706
Teresina,389.39,-2.01,45.17,91h26m,2.75,-1.59,201706
Campo Grande,386.68,-2.13,44.86,90h47m,-5.24,-9.81,201706
Boa Vista,383.99,-1.03,44.54,90h10m,-2.96,-6.34,201706
Porto Velho,381.14,-1.2,44.21,89h29m,0.91,-2.33,201706
Belo Horizonte,374.87,-4.03,43.49,88h01m,-5.01,-11.97,201706
Recife,373.84,-1.46,43.37,87h46m,7.44,2.2,201706
Maceió,373.67,-1.02,43.35,87h44m,-4.57,1.49,201706
Macapá,370.95,0.43,43.03,87h06m,0.18,-4.26,201706
João Pessoa,369.78,-3.66,42.9,86h49m,0.99,1.02,201706
Manaus,368.09,-1.82,42.7,86h25m,-6.83,-4.14,201706
Aracaju,365.55,-1.47,42.41,85h50m,4.54,-2.97,201706
São Luís,365.52,0.2,42.4,85h49m,2.65,-0.81,201706
Palmas,362.85,-3.54,42.09,85h11m,-5.28,-7.45,201706
Natal,354.32,-2.92,41.1,83h11m,0.67,0.62,201706
Salvador,350.22,-0.31,40.63,82h14m,-1.39,-4.25,201706
Rio Branco,333.35,0.06,38.67,78h16m,-13.29,-7.11,201706
Porto Alegre,453.56,2.23,52.61,106h29m,-1.19,-3.25,201707
São Paulo,445.83,0.96,51.72,104h41m,1.58,-6.19,201707
Florianópolis,439.87,1.73,51.03,103h17m,-3.07,-0.73,201707
Rio de Janeiro,425.62,1.25,49.37,99h56m,-4.09,-5.05,201707
Vitória,409.51,1.23,47.5,96h09m,-3.94,-6.13,201707
Brasília,405.4,0.13,47.03,95h11m,-6.09,-9.38,201707
Fortaleza,400.67,-1.91,46.48,94h04m,1.64,-0.67,201707
Curitiba,399.0,1.14,46.29,93h41m,-2.65,-5.05,201707
Cuiabá,395.04,-0.05,45.83,92h45m,-7.32,-10.73,201707
Belém,388.67,-1.1,45.09,91h16m,-5.37,-6.74,201707
Goiânia,386.67,-0.88,44.86,90h47m,-0.04,-8.91,201707
Porto Velho,385.17,1.06,44.68,90h26m,1.98,-0.74,201707
Belo Horizonte,383.69,2.35,44.51,90h05m,-2.78,-9.31,201707
Teresina,382.63,-1.74,44.39,89h50m,0.97,-4.41,201707
Campo Grande,382.17,-1.17,44.33,89h44m,-6.34,-11.2,201707
Boa Vista,372.23,-3.06,43.18,87h24m,-5.93,-15.94,201707
Maceió,371.38,-0.61,43.08,87h12m,-5.15,-3.47,201707
Palmas,369.41,1.81,42.85,86h44m,-3.57,-8.62,201707
São Luís,367.59,0.57,42.64,86h19m,3.24,-4.43,201707
Macapá,365.49,-1.47,42.4,85h49m,-1.29,-7.17,201707
Aracaju,364.27,-0.35,42.26,85h32m,4.17,-3.96,201707
Recife,361.65,-3.26,41.95,84h55m,3.93,-3.44,201707
Manaus,361.44,-1.81,41.93,84h52m,-8.51,-10.58,201707
João Pessoa,361.41,-2.26,41.92,84h52m,-1.3,-6.67,201707
Natal,358.15,1.08,41.55,84h05m,1.76,-1.24,201707
Salvador,357.28,2.02,41.45,83h53m,0.6,-5.99,201707
Rio Branco,332.06,-0.39,38.52,77h58m,-13.63,-10.72,201707
Porto Alegre,445.76,-1.72,51.71,104h40m,-2.89,-6.03,201708
São Paulo,431.66,-3.18,50.07,101h21m,-1.65,-9.15,201708
Florianópolis,426.3,-3.09,49.45,100h05m,-6.06,-6.74,201708
Rio de Janeiro,410.43,-3.57,47.61,96h22m,-7.51,-9.88,201708
Vitória,397.89,-2.84,46.16,93h25m,-6.67,-8.85,201708
Brasília,396.54,-2.19,46.0,93h06m,-8.15,-12.13,201708
Fortaleza,389.35,-2.83,45.17,91h25m,-1.23,-5.06,201708
Goiânia,386.81,0.04,44.87,90h49m,-0.01,-5.91,201708
Curitiba,385.11,-3.48,44.67,90h25m,-6.04,-10.68,201708
Boa Vista,377.45,1.4,43.79,88h37m,-4.61,-14.53,201708
Porto Velho,376.84,-2.16,43.71,88h29m,-0.23,-4.8,201708
Cuiabá,375.96,-4.83,43.61,88h16m,-11.79,-17.02,201708
Belém,375.82,-3.31,43.6,88h14m,-8.5,-10.8,201708
Maceió,374.75,0.91,43.47,87h59m,-4.29,-5.54,201708
Belo Horizonte,365.05,-4.86,42.35,85h43m,-7.5,-15.03,201708
Macapá,359.61,-1.61,41.72,84h26m,-2.88,-11.25,201708
Manaus,357.97,-0.96,41.53,84h03m,-9.39,-10.84,201708
Campo Grande,355.09,-7.09,41.19,83h22m,-12.98,-19.46,201708
Aracaju,353.85,-2.86,41.05,83h05m,1.19,-4.55,201708
São Luís,352.36,-4.14,40.88,82h44m,-1.04,-8.76,201708
João Pessoa,351.08,-2.86,40.73,82h26m,-4.12,-9.01,201708
Recife,340.54,-5.84,39.5,79h58m,-2.13,-8.36,201708
Natal,336.12,-6.15,38.99,78h55m,-4.5,-8.03,201708
Salvador,332.1,-7.05,38.52,77h58m,-6.49,-11.78,201708
Porto Alegre,436.68,-2.04,50.66,102h32m,-4.87,-8.59,201709
São Paulo,421.02,-2.46,48.84,98h51m,-4.07,-10.72,201709
Florianópolis,419.17,-1.67,48.63,98h25m,-7.63,-6.65,201709
Rio de Janeiro,410.27,-0.04,47.59,96h20m,-7.54,-9.15,201709
Vitória,391.76,-1.54,45.45,91h59m,-8.11,-10.0,201709
Brasília,383.03,-3.41,44.43,89h56m,-11.28,-17.09,201709
Curitiba,376.46,-2.25,43.67,88h23m,-8.15,-11.39,201709
Goiânia,372.99,-3.57,43.27,87h35m,-3.58,-5.19,201709
Fortaleza,370.46,-4.85,42.97,86h59m,-6.02,-10.93,201709
Belém,369.89,-1.58,42.91,86h51m,-9.94,-12.85,201709
Cuiabá,366.94,-2.4,42.57,86h09m,-13.91,-19.11,201709
Belo Horizonte,361.82,-0.88,41.97,84h57m,-8.32,-14.17,201709
Campo Grande,359.24,1.17,41.67,84h21m,-11.96,-16.89,201709
Manaus,355.47,-0.7,41.24,83h28m,-10.03,-11.45,201709
Maceió,355.2,-5.22,41.2,83h24m,-9.29,-10.02,201709
Aracaju,344.16,-2.74,39.92,80h49m,-1.58,-7.56,201709
São Luís,338.38,-3.97,39.25,79h27m,-4.97,-11.66,201709
João Pessoa,334.86,-4.62,38.85,78h37m,-8.55,-13.45,201709
Recife,328.63,-3.5,38.12,77h10m,-5.56,-12.49,201709
Natal,323.9,-3.64,37.57,76h03m,-7.97,-11.87,201709
Salvador,318.52,-4.09,36.95,74h47m,-10.31,-16.6,201709
Porto Alegre,446.87,2.33,51.84,104h55m,-2.65,-6.53,201710
São Paulo,428.13,1.69,49.66,100h31m,-2.45,-8.82,201710
Rio de Janeiro,421.05,2.63,48.84,98h52m,-5.12,-7.75,201710
Florianópolis,416.41,-0.66,48.31,97h46m,-8.24,-12.39,201710
Vitória,393.71,0.5,45.67,92h26m,-7.65,-12.35,201710
Brasília,388.78,1.5,45.1,91h17m,-9.94,-11.0,201710
Curitiba,388.06,3.08,45.02,91h07m,-5.32,-10.37,201710
Cuiabá,379.74,3.49,44.05,89h10m,-10.91,-16.1,201710
Campo Grande,368.83,2.67,42.79,86h36m,-9.61,-15.5,201710
Fortaleza,367.61,-0.77,42.64,86h19m,-6.74,-11.51,201710
Belém,367.03,-0.77,42.58,86h11m,-10.64,-13.65,201710
Belo Horizonte,365.89,1.12,42.44,85h55m,-7.29,-12.56,201710
Goiânia,362.58,-2.79,42.06,85h08m,-6.27,-6.9,201710
Manaus,349.19,-1.77,40.51,81h59m,-11.62,-14.81,201710
Maceió,346.26,-2.52,40.17,81h18m,-11.57,-14.1,201710
Aracaju,340.37,-1.1,39.48,79h55m,-2.66,-10.0,201710
São Luís,337.37,-0.3,39.14,79h13m,-5.25,-12.69,201710
João Pessoa,330.38,-1.34,38.33,77h34m,-9.77,-14.3,201710
Recife,325.96,-0.81,37.81,76h32m,-6.32,-12.39,201710
Natal,325.09,0.37,37.71,76h20m,-7.63,-11.4,201710
Salvador,318.31,-0.07,36.93,74h44m,-10.37,-15.25,201710
Porto Alegre,444.16,-0.61,51.52,104h17m,-3.24,-5.3,201711
São Paulo,423.23,-1.14,49.1,99h22m,-3.57,-6.03,201711
Florianópolis,415.0,-0.34,48.14,97h26m,-8.55,-10.99,201711
Rio de Janeiro,407.37,-3.25,47.26,95h39m,-8.2,-9.22,201711
Vitória,387.93,-1.47,45.0,91h05m,-9.0,-11.6,201711
Curitiba,381.26,-1.75,44.23,89h31m,-6.98,-9.52,201711
Brasília,380.52,-2.12,44.14,89h20m,-11.86,-12.86,201711
Cuiabá,375.6,-1.09,43.57,88h11m,-11.88,-12.95,201711
Campo Grande,364.33,-1.22,42.26,85h32m,-10.72,-14.43,201711
Fortaleza,363.92,-1.0,42.22,85h27m,-7.68,-10.48,201711
Goiânia,361.96,-0.17,41.99,84h59m,-6.43,-6.61,201711
Belo Horizonte,359.71,-1.69,41.73,84h28m,-8.86,-10.27,201711
Belém,358.74,-2.26,41.62,84h14m,-12.65,-13.74,201711
Maceió,347.77,0.44,40.34,81h39m,-11.18,-12.82,201711
Manaus,345.66,-1.01,40.1,81h10m,-12.51,-12.32,201711
Aracaju,341.09,0.21,39.57,80h05m,-2.46,-7.44,201711
São Luís,333.14,-1.25,38.65,78h13m,-6.44,-10.31,201711
Natal,328.21,0.96,38.07,77h04m,-6.75,-7.44,201711
Recife,327.85,0.58,38.03,76h59m,-5.78,-7.15,201711
João Pessoa,324.9,-1.66,37.69,76h17m,-11.27,-12.34,201711
Salvador,315.98,-0.73,36.65,74h11m,-11.03,-11.93,201711
Aracaju,340.02,-0.31,39.44,79h50m,-2.76,,201712
São Paulo,424.36,0.27,49.23,99h38m,-3.31,,201712
Recife,332.15,1.31,38.53,77h59m,-4.54,,201712
Rio de Janeiro,418.71,2.78,48.57,98h19m,-5.64,,201712
Natal,331.18,0.9,38.42,77h46m,-5.9,,201712
São Luís,334.13,0.3,38.76,78h27m,-6.16,,201712
Goiânia,360.7,-0.35,41.84,84h41m,-6.76,,201712
Fortaleza,367.45,0.97,42.63,86h16m,-6.78,,201712
Porto Alegre,426.74,-3.92,49.5,100h12m,-7.03,,201712
Florianópolis,418.61,0.87,48.56,98h17m,-7.75,,201712
Belo Horizonte,361.61,0.53,41.95,84h54m,-8.37,,201712
Curitiba,374.94,-1.66,43.49,88h02m,-8.52,,201712
Vitória,385.19,-0.71,44.68,90h26m,-9.65,,201712
João Pessoa,329.52,1.42,38.23,77h22m,-10.01,,201712
Campo Grande,366.26,0.53,42.49,85h59m,-10.24,,201712
Maceió,349.4,0.47,40.53,82h02m,-10.77,,201712
Salvador,316.65,0.21,36.73,74h21m,-10.84,,201712
Cuiabá,376.71,0.3,43.7,88h27m,-11.62,,201712
Brasília,379.77,-0.2,44.05,89h10m,-12.03,,201712
Manaus,347.47,0.52,40.31,81h35m,-12.05,,201712
Belém,356.67,-0.58,41.38,83h44m,-13.16,,201712
Porto Alegre,446.69,4.67,50.89,103h01m,,-1.54,201801
Rio de Janeiro,443.81,5.99,50.57,102h21m,,0.83,201801
São Paulo,439.2,3.5,50.04,101h17m,,0.76,201801
Florianópolis,430.52,2.85,49.05,99h17m,,-2.58,201801
Vitória,417.73,8.45,47.59,96h20m,,-1.1,201801
Brasília,416.5,9.67,47.45,96h03m,,-3.73,201801
Cuiabá,403.35,7.07,45.96,93h01m,,-1.26,201801
Curitiba,399.72,6.61,45.54,92h11m,,0.51,201801
Fortaleza,387.61,5.49,44.16,89h23m,,-6.03,201801
Campo Grande,384.26,4.91,43.78,88h37m,,-2.29,201801
Belo Horizonte,380.02,5.09,43.3,87h38m,,-2.48,201801
João Pessoa,368.76,11.91,42.02,85h02m,,-0.05,201801
Belém,366.99,2.89,41.81,84h38m,,-9.7,201801
Goiânia,362.23,0.42,41.27,83h32m,,-6.12,201801
Natal,360.48,8.85,41.07,83h08m,,3.11,201801
Manaus,356.48,2.59,40.62,82h13m,,-9.93,201801
Recife,356.47,7.32,40.62,82h12m,,2.9,201801
São Luís,355.22,6.31,40.47,81h55m,,0.35,201801
Aracaju,349.97,2.93,39.87,80h43m,,-2.06,201801
Salvador,333.98,5.47,38.05,77h01m,,-7.16,201801
Rio de Janeiro,438.36,-1.23,49.95,101h05m,4.69,3.25,201802
São Paulo,437.33,-0.43,49.83,100h51m,3.06,2.61,201802
Porto Alegre,434.5,-2.73,49.51,100h12m,1.82,-0.23,201802
Florianópolis,425.05,-1.27,48.43,98h01m,1.54,-2.09,201802
Vitória,410.84,-1.65,46.81,94h44m,6.66,-0.77,201802
Brasília,408.68,-1.88,46.56,94h14m,7.61,-1.9,201802
Fortaleza,395.47,2.03,45.06,91h12m,7.63,-1.6,201802
Cuiabá,395.03,-2.06,45.01,91h06m,4.86,0.15,201802
Curitiba,392.91,-1.7,44.77,90h37m,4.79,1.46,201802
Belo Horizonte,381.9,0.49,43.51,88h04m,5.61,1.12,201802
Belém,379.36,3.37,43.22,87h29m,6.36,-4.1,201802
Campo Grande,372.79,-2.98,42.47,85h58m,1.78,-3.27,201802
Goiânia,364.01,0.49,41.47,83h56m,0.92,-4.25,201802
Manaus,357.05,0.16,40.68,82h20m,2.76,-4.9,201802
São Luís,356.74,0.43,40.65,82h16m,6.77,0.65,201802
Recife,356.06,-0.12,40.57,82h07m,7.2,3.49,201802
João Pessoa,354.15,-3.96,40.35,81h40m,7.47,-2.91,201802
Natal,348.96,-3.2,39.76,80h28m,5.37,-0.77,201802
Aracaju,341.59,-2.39,38.92,78h46m,0.46,-0.91,201802
Salvador,336.59,0.78,38.35,77h37m,6.3,-3.67,201802
Rio de Janeiro,441.19,0.65,50.27,101h44m,5.37,2.29,201803
São Paulo,437.84,0.12,49.89,100h58m,3.18,0.57,201803
Porto Alegre,434.7,0.05,49.53,100h15m,1.87,-0.58,201803
Florianópolis,426.79,0.41,48.63,98h25m,1.95,-1.59,201803
Vitória,410.59,-0.06,46.78,94h41m,6.59,-1.24,201803
Brasília,404.6,-1.0,46.1,93h18m,6.54,-2.6,201803
Curitiba,401.65,2.22,45.76,92h37m,7.12,3.11,201803
Cuiabá,398.54,0.89,45.41,91h55m,5.79,2.21,201803
Fortaleza,389.0,-1.64,44.32,89h43m,5.86,-4.85,201803
Campo Grande,382.47,2.6,43.58,88h12m,4.43,-2.42,201803
Belo Horizonte,378.13,-0.99,43.08,87h12m,4.57,-1.93,201803
Belém,367.06,-3.24,41.82,84h39m,2.91,-6.89,201803
Goiânia,360.43,-0.98,41.07,83h07m,-0.07,-7.18,201803
Manaus,358.28,0.34,40.82,82h37m,3.11,-3.67,201803
São Luís,353.16,-1.0,40.24,81h26m,5.7,-3.05,201803
João Pessoa,349.83,-1.22,39.86,80h40m,6.16,-6.51,201803
Natal,343.26,-1.63,39.11,79h10m,3.65,-5.73,201803
Recife,342.46,-3.82,39.02,78h58m,3.1,-3.86,201803
Aracaju,339.77,-0.53,38.71,78h21m,-0.07,-3.42,201803
Salvador,322.88,-4.07,36.79,74h28m,1.97,-7.66,201803
Rio de Janeiro,440.06,-0.26,50.14,101h29m,5.1,-1.88,201804
São Paulo,434.8,-0.69,49.54,100h16m,2.46,-2.57,201804
Porto Alegre,430.29,-1.01,49.03,99h14m,0.83,-7.3,201804
Florianópolis,426.73,-0.01,48.62,98h25m,1.94,-5.91,201804
Vitória,409.8,-0.19,46.69,94h30m,6.39,-5.04,201804
Brasília,402.31,-0.57,45.84,92h47m,5.94,-5.86,201804
Curitiba,394.07,-1.89,44.9,90h53m,5.1,-2.59,201804
Cuiabá,391.56,-1.75,44.61,90h18m,3.94,-4.82,201804
Fortaleza,378.98,-2.58,43.18,87h24m,3.14,-10.42,201804
Campo Grande,378.4,-1.06,43.11,87h16m,3.31,-5.92,201804
Belo Horizonte,376.58,-0.41,42.91,86h50m,4.14,-5.23,201804
Belém,366.19,-0.24,41.72,84h27m,2.67,-8.02,201804
Goiânia,365.81,1.49,41.68,84h22m,1.42,-5.92,201804
Manaus,360.65,0.66,41.09,83h10m,3.79,-3.56,201804
São Luís,345.33,-2.22,39.35,79h38m,3.35,-5.54,201804
Aracaju,342.39,0.77,39.01,78h58m,0.7,-5.9,201804
Natal,337.67,-1.63,38.47,77h52m,1.96,-8.46,201804
João Pessoa,335.77,-4.02,38.26,77h26m,1.9,-12.22,201804
Recife,333.11,-2.73,37.95,76h49m,0.29,-9.66,201804
Salvador,325.42,0.79,37.08,75h02m,2.77,-11.24,201804
Rio de Janeiro,446.03,1.36,50.82,102h52m,6.52,0.78,201805
Florianópolis,441.62,3.49,50.32,101h50m,5.5,-1.1,201805
São Paulo,441.16,1.46,50.26,101h44m,3.96,-3.87,201805
Porto Alegre,437.73,1.73,49.87,100h56m,2.58,-4.98,201805
Vitória,409.95,0.04,46.71,94h32m,6.43,-2.86,201805
Brasília,404.65,0.58,46.1,93h19m,6.55,-4.23,201805
Campo Grande,398.14,5.22,45.36,91h49m,8.7,0.77,201805
Curitiba,397.17,0.79,45.25,91h35m,5.93,-1.57,201805
Cuiabá,395.49,1.0,45.06,91h12m,4.99,-1.75,201805
Fortaleza,390.79,3.12,44.53,90h07m,6.35,-3.39,201805
Belo Horizonte,375.11,-0.39,42.74,86h30m,3.73,-3.97,201805
Belém,367.56,0.37,41.88,84h46m,3.05,-8.74,201805
Goiânia,366.65,0.23,41.77,84h33m,1.65,-6.64,201805
Manaus,357.71,-0.82,40.76,82h29m,2.95,-4.59,201805
São Luís,349.98,1.35,39.88,80h43m,4.74,-4.06,201805
Aracaju,349.29,2.02,39.8,80h33m,2.73,-5.85,201805
João Pessoa,346.42,3.17,39.47,79h53m,5.13,-9.74,201805
Natal,341.18,1.04,38.87,78h41m,3.02,-6.52,201805
Recife,336.36,0.98,38.32,77h34m,1.27,-11.34,201805
Salvador,327.56,0.66,37.32,75h32m,3.45,-6.76,201805
Porto Alegre,452.81,3.45,51.59,104h25m,6.11,2.06,201806
São Paulo,451.63,2.37,51.46,104h09m,6.43,2.27,201806
Rio de Janeiro,445.58,-0.1,50.77,102h45m,6.42,6.0,201806
Cuiabá,425.32,7.54,48.46,98h05m,12.9,7.61,201806
