mes,data_referencia,ano,mes_num,capital,sigla_uf,capital_bruto,valor,var_mensal,pct_sal,tempo,tempo_em_horas,var_ano,var_12,flag_capital_variante,flag_conflito_capital_mes,flag_diverge_var_mensal,n_capitais_no_mes,periodo_cobertura,tipo_cesta,ipca_grupo,ipca_variavel,ipca_var_mensal_pct,ipca_tabela_sidra,ano_eleitoral_referencia,ano_eleitoral_presidente_referencia,ano_eleitoral_governador_referencia,tse_presidente_nm_candidato,tse_presidente_sg_partido,tse_presidente_nm_partido,tse_presidente_nm_coligacao,tse_governador_nm_candidato,tse_governador_sg_partido,tse_governador_nm_partido,tse_governador_nm_coligacao
200609,2006-09-01,2006,9,Aracaju,SE,ARACAJU,131.03,-0.82,40.54,82h22m,82.36666666666666,-9.82,-1.56,True,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.08,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200611,2006-11-01,2006,11,Aracaju,SE,Aracaju,145.44,6.19,45.0,91h25m,91.41666666666667,0.1,5.06,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.05,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200612,2006-12-01,2006,12,Aracaju,SE,Aracaju,137.61,-5.29,42.57,86h30m,86.5,,-5.38,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.39,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200701,2007-01-01,2007,1,Aracaju,SE,Aracaju,142.74,3.73,44.16,89h43m,89.71666666666667,3.73,5.67,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.84,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200702,2007-02-01,2007,2,Aracaju,SE,Aracaju,141.66,-0.76,43.83,89h03m,89.05,2.94,6.18,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.78,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200703,2007-03-01,2007,3,Aracaju,SE,Aracaju,149.77,5.72,46.34,94h08m,94.13333333333334,8.84,9.95,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.98,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200704,2007-04-01,2007,4,Aracaju,SE,Aracaju,150.45,0.45,42.87,87h06m,87.1,9.33,5.43,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.03,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200705,2007-05-01,2007,5,Aracaju,SE,Aracaju,142.49,-5.29,40.6,82h30m,82.5,3.55,2.95,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.16,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200706,2007-06-01,2007,6,Aracaju,SE,Aracaju,140.45,-1.43,40.02,81h19m,81.31666666666666,2.06,4.62,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.09,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200707,2007-07-01,2007,7,Aracaju,SE,Aracaju,142.98,1.8,40.74,82h47m,82.78333333333333,3.9,6.68,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.27,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
